NO,Question,Opt_A,Opt_B,Opt_C,Opt_D,Answer,Standard
531,What is the Minimum Fish Neck Length for box x box connection?,12,24,18,16,B,DS-1
532,What is the Minimum Fish Neck Length for box x pin connection?,12,24,18,16,D,DS-1
533,What is the Minimum Fish Neck Length for pin x pin connection?,12,24,18,16,A,DS-1
534,What is the Minimum Fish Neck Length of Drill collar?,10,12,15,18,A,DS-1
535,Thread flank surfaces shall be free of damage that exceeds ____________ Inch in depth.,8-Jan,16-Jan,16-Mar,2-Jan,B,DS-1
536,What is the minimum elevator groove recess area of drill collar?,10,12,16,18,C,DS-1
537,What is the minimum slip groove recess area of drill collar?,10,12,16,18,D,DS-1
538,What is the minimum radius for slip groove recess area of drill collar?,"1/2""","1/8""","1/16""","1/4""",A,DS-1
539,What is the minimum radius for elevator groove recess area of drill collar?,"1/2""","1/8""","1/16""","1/4""",B,DS-1
540,"When Heat Checking The Outside Diameter Of The Box Tool Joint, Excluding __________, Shall Be Inspected For Longitudinal Cracks Using An Ac Yoke ",Marking ,Taping,Hardbanding,None of these,C,DS-1
541,Standardization Runs Must Appear In Their Proper Sequence On The Production Logs. ,TRUE,FALSE,,,A,DS-1
542,The tube surfaces shall be clean so that metal surface is visible and no surface particles larger than ____ in any dimension can be broken loose with a finger nail,"1/16""","1/8""","1/32""",None of these,B,DS-1
543,FLD Is An Abbreviation Of,Full length Drifting,Full length Diameter,Full length Detector,None of these,A,API SPEC 5CT & 5A5
544,The External Pipe Surface where the readings are to be      taken shall not be cleaned to the Surface ,TRUE,Falsa,None of these,,B,DS-1
545,The parting line between the transmit and receive elements on the two-element transducer shall be held -------------- to   the longitudinal axis of the Pipe ,Horizontal ,Perpendicular,Vertical,Both Option a and b,B,DS-1
546,The field reference standard shall be verified to be within ------ inches of stated thicknesses by micrometer or vernier or dial caliper ,"+/- 0.0002""","+/- 0.02""","+/- 0.002""",All of the above ,C,DS-1
547,"If previous field calibration accuracy can not be verified, all areas tested since the last valid calibration shall be -------- after correcting the calibration",Reenaged ,Regaged,Reported,Reimported ,B,DS-1
548,"After couplant application, thickness measurements shall be taken around the tube circumference in ------------ maximum increments.",1 Inch,1 Foot,1 Meter,None of these ,A,DS-1
549,The inspector shall scan the surface within a 1-inch radius of the ------ reading to confirm or modify that value.,Highest,Moderate,Lowest ,Greatest,C,DS-1
550,"Which of the following types of penetrants, developers, solvents are used when conducting a liquid penetrant test on a part that is exposed to a liquid oxygen environment.",Water Based penetrants,Water based developers,Water based solvent ,All of the above ,A,Penetrant Testing (Specific)
551,The causes of non relevant indications are:,Insufficient remova of excess surface penetrant ,Penetrant on operators hands,"Threads, keyways, splines, sharp corners, press fits, blind holes, rough surfaces",Contaminated work surface ,C,Penetrant Testing (Specific)
552,Which of the following metals must be tested with low halogen sulphur free penetrant materials:,"Copper, silver, gold","Nickel based alloys, certain stainless steel materials","Steel, iron, aluminium 	","Plastic, wood, paper",D,Penetrant Testing (Specific)
553,Penetrant testing is limited by its inability to test which of     the following materials,Aluminium,Ceramics,Porous materials,Moulded rubber,D,Penetrant Testing (Specific)
554,Liquid penetrants can be further categorised by the removal method of excess surface penetrant:,Water washable ,Solvent removable,Post emulsified,All of the above,A,Penetrant Testing (Specific)
555,The typical temperature ranges for conducting a liquid penetrant test is:,60 to 100ºC,10 to 60ºF,16 to 52ºC,10 to 20ºK,B,Penetrant Testing (Specific)
556,Surface breaking porosity will show what type of relevant indications when a welded aluminium plate is tested with the liquid penetrant method,Linear indications,Square indications,Triangular indications,Rounded indications,B,Penetrant Testing (Specific)
557,"Cracks, lack of penetration, lack of fusion which are surface breaking on a welded aluminium plate which has been liquid penetrant tested will show as:",Linear indications,Rounded indications,Square indications,Triangular indications,C,Penetrant Testing (Specific)
558,Which of the following methods is not recommended for    pre-cleaning prior to a liquid penetrant test,"Steam cleaning, etching, rust and paint removal","Solvent wipe, vapour degreasing, ultrasonic bath cleaning","Blasting, grinding, filing, honing, machining",All of the listed methods are not recommended,D,Penetrant Testing (Specific)
559,The purpose of using a developer is,To create a contrasting background for the penetrants to   ensure better visibility of indications,Assists in reverse capillary action due to absorption ability of developers,Prevent the part from corroding after the liquid penetrant     test,Both a and b are correct,B,Penetrant Testing (Specific)
560,The typical sequence of conducting a visible solvent removable penetrant is,Pre-clean with a solvent wipe method,"Apply visible penetrant, keep wet, dwell time of 2 minutes",Pour solvent on surface of part and wipe with waste cloth,Spray on a thick layer of developer,D,Penetrant Testing (Specific)
561,The principle on which liquid penetrant testing is based on is,Capillary action of the penetrant,Capillary action of cleaner/solvent,Capillary action of developer,None of the listed is correct,A,Penetrant Testing (Specific)
562,The limitation of a liquid penetrant test is,Only surface breaking discontinuities can be detected if chemically and physically clean and dry,Porous materials cannot be tested,There is cleaning problem following penetrant inspection in some cases,All of the listed limitations are correct,B,Penetrant Testing (Specific)
563,Penetrants may be applied to the surface of part by,Spraying,Dipping,Pouring,All of the above methods are acceptable,B,Penetrant Testing (Specific)
564,Which of the following is a reason to post clean a part after a liquid penetrant test,The part might be further processed,If repairs are necessary,Developers absorb moisture and may result in part being corroded,All of the reasons are correct,C,Penetrant Testing (Specific)
565,Which of the following penetrant has a built-in emulsifier,Water washable,Solvent removable,Post emulsified,All of the listed above,A,Penetrant Testing (Specific)
566,Liquid penetrants can be classified into the types of dyes   they contain,Visible/colour contrast,Fluorescent,Dual sensitivity,All of the listed is correct,D,Penetrant Testing (Specific)
567,The advantages of using a visible solvent removable penetrant versus a post emulsified fluorescent penetrant is,No UV light is needed,The technique is well suitable for site tests or spot checks,No water or emulsifiers are needed,No extra equipment is needed,D,Penetrant Testing (Specific)
568,The following precautions must be observed when removing the excess surface penetrant with a water wash method  using a hose pipe,The wash angle should be at 45?,A coarse droplet spray,Temperature of water 16 to 43?C,Pressure as low as possible not to exceed 50 psi,B,Penetrant Testing (Specific)
569,The typical causes for false indications are,"Threads, keyways, splines, rough surfaces","Sharp corners, pop rivets","Insufficient removal of excess surface penetrant, penetrant on operators’ hands, using cloth/paper towels which are not lint free, dirty work surfaces",Over washing with high pressure hose pipes,B,Penetrant Testing (Specific)
570,Which of the following is not (!) an advantage of a water    washable fluorescent penetrant process?,Excess penetrant is easily removed with a water wash,It is well suited to testing large quantities of small parts,It is readily removed from shallow discontinuities,"It has low cost, low processing time compared to the post emulsified penetrant process",C,Penetrant Testing (General)
571,"When using a water washable penetrant testing process,  why should the water rinse temperature remain constant?",To avoid changes in rinse efficiency,To maintain the temperature of the part,To avoid over washing,To avoid under washing,C,Penetrant Testing (General)
572,What is the proper technique for removal of excess penetrant from a part when using a water washable penetrant      process?,Fine spray normal to the surface,Coarse spray normal to the surface,Fine spray at 45 degrees to the surface,Coarse spray at 45 degrees to the surface,D,Penetrant Testing (General)
573,Which type of developer would you use to obtain the highest sensitivity test results?,Dry,Non-aqueous wet,Aqueous wet,Lipophilic,B,Penetrant Testing (General)
574,What type of penetrant process would be best suited to an application at near freezing temperatures?,Solvent removable,Water washable,Post emulsifiable,None of these,D,Penetrant Testing (General)
575,Which type of developer does not (!) provide a contrasting background against which to view penetrant indications?,Dry,Non-aqueous wet,Aqueous wet,Water suspendable,A,Penetrant Testing (General)
576,Which type of developer should not be used with a visible dye penetrant process?,Dry,Non-aqueous wet,Water soluble,Water suspendable,A,Penetrant Testing (General)
577,Why might steel parts have a greater tendency towards rusting after penetrant testing?,Penetrant materials are normally corrosive,Penetrant materials residues are hydroscopic,Any protective oils are removed during penetrant testing,This is true only if the developer and penetrant residues are not removed after testing,C,Penetrant Testing (General)
578,The most significant advantage of the visible solvent removable penetrant process is?,Its suitability for penetrant testing of article with rough surfaces,Portability,Its non-corrosive properties,Ability to allow retest,B,Penetrant Testing (General)
579,Which penetrant test processes commonly use the same penetrants?,Water washable,Water washable and solvent removable,Solvent removable and post emulsifier,None of the above,C,Penetrant Testing (General)
580,Mercury vapour black lights may be extinguished if the       supply voltage drops below about:,120 volts,90 volts,220 volts,200 volts,D,Penetrant Testing (General)
581,The output of a mercury vapour black light depends on:,Cleanliness of its filter,Age of the bulb,Both a and b,None of the above,C,Penetrant Testing (General)
582,"When a mercury vapour black light is first turned on, what minimum warm-up time is normally required?",None,2 to 3 minutes,5 minutes,10 minutes,C,Penetrant Testing (General)
583,"When a mercury vapour black light is inadvertently cut off,  approximately how long should it be allowed to cool before attempting to restart?",Not required,2 to 3 minutes,5 minutes,10 minutes,C,Penetrant Testing (General)
584,A soft aluminium test piece is to be penetrant tested. The  piece has previously been sand blasted to remove tightly  adhering soils. What additional surface preparation should be performed?,Etching,Solvent cleaning,Ultrasonic cleaning,Grinding,C,Penetrant Testing (General)
585,"Dried, non-aqueous developers are best removed after penetrant testing by:",Solvent cleaning ,Wiping with a water dampened cloth,Wiping with a dry towel,Any of the above,D,Penetrant Testing (General)
586,The most important penetrant test processing time to control is:,Penetrant dwell time,Emulsifier dwell time,Water rinse time,Development time,A,Penetrant Testing (General)
587,A penetrant which contains an emulsifier is called ,Solvent removable ,Water washable ,Post emulsifiable,Solvent Suspended,B,Penetrant Testing (General)
588,A penetrant which requires a separate emulsification step prior to removal from the surface of the test piece is called?,Solvent removable ,Water washable,Post emulsifiable ,Solvent suspended,C,Penetrant Testing (General)
589,The chief advantage of using a water washable penetrant  process is ,Sensitivity ,Safety ,Water tolerance ,Economics,B,Penetrant Testing (General)
590,"While performing a fluorescent water washable penetrant   test, which of the following steps should be performed under black light?",Penetrant application,Excess penetrant removal,Emulsification,Developer application,B,Penetrant Testing (General)
591,What are the two most important properties in determining the penetrating ability of a penetrant?,Viscosity and surface tension,Viscosity and contact angle,Surface tension and wetting ability,None of the above,C,Penetrant Testing (General)
592,The human eye is most sensitive to which of the following   types of light?,Yellow-green,Red,Blue-Violet,Orange ,C,Penetrant Testing (General)
593,What amount of time is normally considered necessary for dark adaption of the eyes prior to performing a fluorescent penetrant test?,None required,1 to 2 minutes,3 to 5 minutes,5 to 10 minutes,C,Penetrant Testing (General)
594,Which of the following is not normally recommended?,Performing a fluorescent penetrant test following a visible  penetrant test,Performing a visible penetrant test following a fluorescent   test,Removing excess penetrant with a water spray,Removing excess penetrant with towels moistened with     solvent,A,Penetrant Testing (General)
595,What is the most common source of penetrant bath contamination?,"Emulsifier         	",Water,Developer,Solvent ,B,Penetrant Testing (General)
596,Which of the following is normally considered acceptable  practice?,Sand blasting a soft aluminium part during pre-cleaning,Performing a fluorescent penetrant test following a visible  penetrant test,performing a re-test on a part tested with a water washable penetrant process,Removing excess penetrant with a water spray,D,Penetrant Testing (General)
597,"A penetrant testing method in which an emulsifier, separate from the penetrant, is used is called:",Solvent removable ,Water washable ,Post emulsifying ,Self emulsifying ,C,Penetrant Testing (General)
598,A penetrant testing method in which the degree of washability can be controlled by the operator is called:,Self emulsifying,Post emulsifiable,Water washable,Solvent removable,C,Penetrant Testing (General)
599,"Open, shallow discontinuities are best detected by which  penetrant testing method?",Solvent removable,Water washable,Post emulsifiable,None of the above,C,Penetrant Testing (General)
600,An advantage of the post emulsifiable penetrant testing process is that:,Test pieces can be re-processed several times with little    loss of sensitivity,It is the most economical penetrant testing process,It is highly susceptible to over washing,It is not self emulsifying,A,Penetrant Testing (General)
601,"What is the primary focus of API 5CT, 9th Edition?",Threaded casing,Pipe dimensions only,"Steel pipes for casing, tubing, and pup joints",Pipe coatings,C,API SPEC 5CT & 5A5
602,"Which of the following pipe grades is covered under API 5CT, 9th Edition?",Grade P125,Grade P50,Grade L80,Grade Q75,D,API SPEC 5CT & 5A5
603,Which product requires a special heat treatment process?,Tubing,Coupling stock,Casing joints,Electric-welded pipes,D,API SPEC 5CT & 5A5
604,"What is the minimum required elongation for the tensile test as per API 5CT, 9th Edition?",10%,5%,8%,15%,A,API SPEC 5CT & 5A5
605,"In API 5CT, what does the term 'PSL' stand for?",Piping Service Level,Product Specification Level,Pipe Specification Level,Pipe Strength Level,B,API SPEC 5CT & 5A5
606,What is the recommended action when a casing pipe exhibits visible defects according to API 5CT?,Ignore and continue,Conduct additional testing,Repair or replace based on severity,Replace immediately,C,API SPEC 5CT & 5A5
607,Which of the following is required for full conformance to API 5CT's specifications?,Visual inspection only,Material composition test,Environmental impact assessment,Tensile testing and hardness test,D,API SPEC 5CT & 5A5
608,Which of the following does API 5CT state as acceptable for the manufacturing process of tubing?,Only electric-welded,Cold working only,Seamless or electric-welded process,Only seamless,C,API SPEC 5CT & 5A5
609,What is the maximum allowable hardness for Grade C90 material under API 5CT?,180 HB,190 HB,170 HB,150 HB,C,API SPEC 5CT & 5A5
610,Which type of pipe joint connection is covered?,Welded joints,Buttress and round-thread connections,Screw-type connections only,Threaded pipe only,B,API SPEC 5CT & 5A5
611,How does API 5CT specify the marking of pipe products?,By color coding,By size,By manufacturing date,By serial numbering,D,API SPEC 5CT & 5A5
612,What is required when producing electric-welded pipes according to API 5CT?,No post-welding inspection,Continuous welding,Thread sealing,Heat treatment post-welding,D,API SPEC 5CT & 5A5
613,Which of the following materials is specifically mentioned for casing under API 5CT?,Stainless steel only,Carbon steel and alloy steel,Steel and aluminum,Steel alloys,B,API SPEC 5CT & 5A5
614,What does API 5CT require when sulfur is present in steel?,Sulfur levels should not affect performance,Sulfur levels must be below 1%,Sulfur content must be disclosed,Sulfur should not exceed specified limits,D,API SPEC 5CT & 5A5
615,"For Grade C110, what is the required impact testing procedure under API 5CT?",Rockwell testing,Tensile strength testing,Charpy V-notch test,Brinell hardness testing,C,API SPEC 5CT & 5A5
616,What is the maximum allowable percentage for sulfide stress cracking in Grade C110 as per API 5CT?,No sulfide stress cracking allowed,5% of total mass,3% of total mass,1% of total mass,A,API SPEC 5CT & 5A5
617,What is the purpose of the Charpy V-notch test in API 5CT?,To evaluate material toughness,To determine material density,To test pipe elongation,To measure hardness,A,API SPEC 5CT & 5A5
618,What does API 5CT recommend when casing and tubing materials are exposed to extreme conditions?,Continue operations without inspection,Only visual checks,Immediate replacement,Thorough inspection and testing,D,API SPEC 5CT & 5A5
619,"Under API 5CT, which of the following is required for seamless pipes?",No special inspection required,Heat treatment after production,Weld seam inspection,Chemical analysis only,B,API SPEC 5CT & 5A5
620,What is required when pipe manufacturers use a heat treatment process?,Report only if defects are found,Identification of heat treat lot,Serial numbers on every pipe,General testing of the entire batch,B,API SPEC 5CT & 5A5
621,What is the main objective of the heat treatment process in API 5CT?,To improve toughness,To enhance hardness,To reduce pipe elongation,To increase yield strength,A,API SPEC 5CT & 5A5
622,Which of the following is considered acceptable for tubing connections in API 5CT?,Welded connections,Threads,Bolt-type joints,Socket-type joints,B,API SPEC 5CT & 5A5
623,Which method of testing is required for casing material to ensure its durability?,Visual inspection,Non-destructive testing (NDT),Acoustic testing,Hydraulic testing,B,API SPEC 5CT & 5A5
624,What is the maximum hardness allowed for Grade L80 in API 5CT?,160 HB,170 HB,190 HB,180 HB,B,API SPEC 5CT & 5A5
625,How often should casing material be subjected to impact tests under API 5CT?,Every 6 months,After every 1000 feet of drilling,Once during initial production,On a random sample basis,D,API SPEC 5CT & 5A5
626,API 5CT specifies that coupling stock should undergo which of the following tests?,Surface coating testing,Only visual inspection,Hardness testing and chemical analysis,Ultrasonic testing,C,API SPEC 5CT & 5A5
627,"According to API 5CT, which of the following is a characteristic feature of Grade P110 material?",Heat resistance,Impact resistance,Corrosion resistance,Tensile strength,D,API SPEC 5CT & 5A5
628,What is the maximum allowable tensile strength for Grade L80 casing?,130 ksi,110 ksi,150 ksi,120 ksi,B,API SPEC 5CT & 5A5
629,Which of the following does API 5CT mandate for all production tubing?,Must be seamless,Must be electric-welded,Must have a corrosion-resistant coating,Must undergo hardness testing,A,API SPEC 5CT & 5A5
630,What material is primarily used for tubing production under API 5CT?,Aluminum,Alloy steel,Stainless steel,Carbon steel,D,API SPEC 5CT & 5A5
631,What does API 5CT recommend for casing pipes exposed to hydrogen sulfide?,Increased impact testing,Use of corrosion-resistant alloys,Increased wall thickness,Electroplating for corrosion protection,B,API SPEC 5CT & 5A5
632,What type of steel is recommended for high-temperature applications in API 5CT?,Stainless steel,High alloy steel,Low carbon steel,Carbon alloy steel,B,API SPEC 5CT & 5A5
633,How are pipe dimensions determined under API 5CT?,By manufacturing capability,By a specified tolerance range,By internal testing and customer orders,By API recommendation only,B,API SPEC 5CT & 5A5
634,What is the purpose of a tensile test under API 5CT?,To determine impact resistance,To test for corrosion resistance,To assess strength under tension,To measure hardness,C,API SPEC 5CT & 5A5
635,API 5CT specifies that all casing and tubing should undergo which type of inspection?,Ultrasonic testing,Magnetic particle testing,Pressure testing,Visual inspection,D,API SPEC 5CT & 5A5
636,How does API 5CT categorize material grades?,By yield strength,By elongation rate,By chemical composition,By tensile strength,D,API SPEC 5CT & 5A5
637,What is the primary concern for sulfur content in casing material under API 5CT?,It affects the tensile strength,It increases yield strength,It reduces toughness,It increases risk of hydrogen sulfide stress cracking,D,API SPEC 5CT & 5A5
638,What is the minimum required elongation for API 5CT Grade L80?,20%,15%,18%,10%,B,API SPEC 5CT & 5A5
639,"According to API 5CT, which of the following pipe qualities must be tested for every batch?",Tensile strength,Impact toughness,Corrosion resistance,Weight,A,API SPEC 5CT & 5A5
640,What is the maximum permissible sulfur content in steel pipes for API 5CT?,0.03%,0.05%,0.10%,0.08%,B,API SPEC 5CT & 5A5
641,Which test is used to ensure pipe welds are free from defects under API 5CT?,Hardness testing,Chemical analysis,Tensile testing,Radiographic testing,D,API SPEC 5CT & 5A5
642,What does API 5CT recommend for pipes exposed to high-pressure environments?,Higher elongation values,Corrosion-resistant coatings,Impact testing,Thicker pipe walls,D,API SPEC 5CT & 5A5
643,What impact does high carbon content have on casing material?,Improved strength,Reduced toughness,Increased wear resistance,Decreased yield strength,B,API SPEC 5CT & 5A5
644,What is required for coupling materials under API 5CT?,Chemical composition testing,Hardness testing and dimensional verification,Only tensile testing,Surface inspection,B,API SPEC 5CT & 5A5
645,What is the standard testing temperature for impact testing in API 5CT?,25°C,50°C,Ambient temperature,0°C,A,API SPEC 5CT & 5A5
646,Which of the following pipe grades is the most resistant to hydrogen sulfide as per API 5CT?,Grade C90,Grade Q125,Grade P110,Grade L80,C,API SPEC 5CT & 5A5
647,What testing is specified for the pipe's ability to handle hydrogen sulfide stress?,Tensile test,Impact test,Sulfide stress cracking test,Hardness test,C,API SPEC 5CT & 5A5
648,How does API 5CT categorize pipes that require higher corrosion resistance?,By length and diameter,By specific alloy compositions,By the test pressure applied,By increased yield strength,B,API SPEC 5CT & 5A5
649,What must be done if a casing pipe is found to have surface imperfections?,Replace it immediately,Perform additional stress testing,Apply a corrosion-resistant coating,Repair or replace depending on severity,D,API SPEC 5CT & 5A5
650,What is the specification for the wall thickness of casing under API 5CT?,It must be within a specified tolerance range,It must conform to the manufacturer’s design,It must exceed the nominal thickness,It must meet API 5L standards,A,API SPEC 5CT & 5A5
651,What is the requirement for Grade P110 under API 5CT in terms of tensile strength?,80 ksi,120 ksi,100 ksi,110 ksi,D,API SPEC 5CT & 5A5
652,What type of inspection is required for welded casing joints under API 5CT?,Weld seam ultrasonic testing,Magnetic particle testing,Visual inspection,Radiographic inspection,A,API SPEC 5CT & 5A5
653,What is the main concern when using pipes in high-stress areas according to API 5CT?,Tensile strength,Brittleness due to rapid cooling,Sulfide stress cracking,Corrosion resistance,C,API SPEC 5CT & 5A5
654,API 5CT recommends testing which of the following for pipeline accessories?,Dimensions,Strength under pressure,Surface appearance,Chemical composition,D,API SPEC 5CT & 5A5
655,What is the required material for coupling stock under API 5CT?,Corrosion-resistant steel,Non-corrosive aluminum,Alloy steel,Carbon steel,D,API SPEC 5CT & 5A5
656,Which test is necessary for ensuring the safety of tubing materials?,Tensile testing,Corrosion resistance test,Impact test,Bending test,A,API SPEC 5CT & 5A5
657,What is the importance of the hardness test in API 5CT?,To assess the strength of the pipe,To verify the heat treatment process,To test for corrosion resistance,To check for internal defects,B,API SPEC 5CT & 5A5
658,What is the minimum required hardness for Grade C90 in API 5CT?,160 HB,190 HB,180 HB,170 HB,D,API SPEC 5CT & 5A5
659,What does API 5CT specify for the weld quality in casing pipes?,It must be inspected by radiography,It must be uniform,It should have no visible cracks,It should withstand high pressure,A,API SPEC 5CT & 5A5
660,What is the requirement for thread protection in API 5CT?,Mark threads for identification,Use thread protectors,Apply a standard coating,Inspect every 50 meters of pipe,B,API SPEC 5CT & 5A5
661,What is the primary consideration when selecting steel material for casing in API 5CT?,Yield strength,Tensile strength,Impact resistance,Corrosion resistance,A,API SPEC 5CT & 5A5
662,What does API 5CT specify about the impact test for API casing?,Test at -20°C,Test at 0°C,Test at -10°C,Test at 25°C,A,API SPEC 5CT & 5A5
663,Which of the following is mandatory for ensuring material conformance under API 5CT?,Yield strength testing,Brinell hardness testing,Charpy impact testing,None of the above,C,API SPEC 5CT & 5A5
664,API 5CT requires that couplings should undergo which of the following?,Visual inspection,Hardness testing,Tensile testing,Chemical composition analysis,B,API SPEC 5CT & 5A5
665,Which of the following testing methods does API 5CT recommend for detecting internal flaws in casing material?,Ultrasonic testing,Magnetic particle testing,Dye penetrant testing,X-ray inspection,A,API SPEC 5CT & 5A5
666,How should a pipe be marked according to API 5CT?,By color coding,By laser engraving,By embossing,By a serial number,D,API SPEC 5CT & 5A5
667,What impact does high carbon content have on casing material as per API 5CT?,Increased tensile strength,Increased resistance to corrosion,Reduced weldability,Increased elongation,C,API SPEC 5CT & 5A5
668,Which of the following materials is not typically used for casing production in API 5CT?,Carbon steel,Alloy steel,Aluminum,Stainless steel,C,API SPEC 5CT & 5A5
669,Which of the following is used to determine the suitability of casing for service in sour environments?,Sulfide stress cracking test,Hardness testing,Tensile test,Charpy impact test,A,API SPEC 5CT & 5A5
670,How does API 5CT categorize pipes that require higher corrosion resistance?,By increased yield strength,By specific alloy compositions,By the test pressure applied,By length and diameter,B,API SPEC 5CT & 5A5
671,"According to API 5CT, what is the standard procedure when tubing shows a reduction in wall thickness?",Replace the tubing immediately,Continue operation with increased monitoring,Conduct further material testing,Rework and repair,A,API SPEC 5CT & 5A5
672,What does API 5CT recommend when a casing shows surface wear?,Repair the surface,Replace the casing,Apply protective coatings,Perform tensile testing,A,API SPEC 5CT & 5A5
673,How should welds in casing pipes be tested according to API 5CT?,Only visually,By ultrasonic testing,By radiographic inspection,By tensile testing,B,API SPEC 5CT & 5A5
674,What is the role of chemical composition testing in API 5CT?,To determine the material’s weldability,To evaluate impact toughness,To ensure compliance with material grades,To assess the dimensional tolerance,C,API SPEC 5CT & 5A5
675,What is the purpose of the hardness test in API 5CT?,To assess the tensile strength,To evaluate corrosion resistance,To ensure appropriate weldability,To check for internal defects,C,API SPEC 5CT & 5A5
676,Which of the following is not a requirement for casing under API 5CT?,Chemical composition verification,Dimensional verification,Tensile strength testing,Impact toughness verification,D,API SPEC 5CT & 5A5
677,What is the standard test temperature for the impact test in API 5CT?,25°C,0°C,50°C,100°C,A,API SPEC 5CT & 5A5
678,What impact does a high sulfur content in casing material have under API 5CT?,Increased tensile strength,Increased risk of sulfide stress cracking,Improved weldability,Reduced resistance to corrosion,B,API SPEC 5CT & 5A5
679,What should be done if casing material fails to pass the impact test under API 5CT?,Replace immediately,Monitor closely and continue use,Evaluate for possible service modifications,Retest at higher temperatures,A,API SPEC 5CT & 5A5
680,How does API 5CT categorize pipe for deep-water applications?,By wall thickness,By yield strength,By material composition,By testing pressure,B,API SPEC 5CT & 5A5
681,What is the allowable tolerance for pipe length under API 5CT?,±0.5 meters,±1.0 meters,±2.0 meters,±3.0 meters,B,API SPEC 5CT & 5A5
682,Which of the following is used to assess the impact toughness of casing material under API 5CT?,Charpy V-notch testing,Brinell hardness testing,Tensile testing,Ultrasonic testing,A,API SPEC 5CT & 5A5
683,"According to API 5CT, how should each casing joint be tested?",Visual inspection,Tensile test,Impact test,Leak test,D,API SPEC 5CT & 5A5
684,What material grade under API 5CT is commonly used in sour service environments?,Grade L80,Grade P110,Grade Q125,Grade T95,A,API SPEC 5CT & 5A5
685,API 5CT recommends performing which of the following tests when there is a risk of hydrogen sulfide exposure?,Tensile strength test,Sulfide stress cracking test,Corrosion resistance test,Impact test,B,API SPEC 5CT & 5A5
686,What is the main concern when casing is exposed to high-pressure conditions as per API 5CT?,Deformation of pipe,Hydrogen sulfide stress cracking,Loss of impact toughness,Corrosion,B,API SPEC 5CT & 5A5
687,Which material grade under API 5CT requires additional testing for hydrogen sulfide stress?,Grade L80,Grade P110,Grade Q125,Grade T95,A,API SPEC 5CT & 5A5
688,What is the recommended surface preparation method for casing material according to API 5CT?,Clean and smooth,Coated with a rust-resistant finish,Painted with a protective coating,Welded and sealed,B,API SPEC 5CT & 5A5
689,How should API 5CT pipes be stored to prevent damage?,Under temperature-controlled conditions,"In a dry environment, off the ground",At high pressure,In a sealed container,B,API SPEC 5CT & 5A5
690,What impact does high temperature have on casing material according to API 5CT?,Increases tensile strength,Reduces impact toughness,Decreases hardness,Increases elongation,B,API SPEC 5CT & 5A5
691,What should be done when a pipe fails to meet API 5CT specifications?,The pipe should be discarded,The pipe should be reworked or replaced,The pipe should be used under lower stress,Continue operations and monitor,B,API SPEC 5CT & 5A5
692,What testing is required for the finished casing product under API 5CT?,Hydraulic testing,Leak testing,Dimensional testing,All of the above,D,API SPEC 5CT & 5A5
693,What is the significance of the corrosion resistance test under API 5CT?,To determine whether the casing can withstand harsh chemicals,To ensure material does not fail in acidic conditions,To prevent casing material from breaking,To test for internal voids,B,API SPEC 5CT & 5A5
694,Which test determines the elasticity of the casing material under API 5CT?,Tensile test,Elongation test,Impact test,Brinell hardness test,A,API SPEC 5CT & 5A5
695,API 5CT specifies that pipes in highly corrosive environments must undergo which type of coating?,Polyethylene,Fusion-bonded epoxy,Polyurethane,Polymer,B,API SPEC 5CT & 5A5
696,How is the dimension of a casing pipe verified in API 5CT?,By visual inspection,By a series of gauges and templates,By laser measurements,By checking the nominal size,B,API SPEC 5CT & 5A5
697,What is the impact of sulfur content on the weldability of casing material under API 5CT?,Increased weldability,Decreased weldability,No effect,Improved material strength,B,API SPEC 5CT & 5A5
698,"According to API 5CT, how should tubing be protected from mechanical damage?",By storing in a well-ventilated area,By using protective caps and thread protectors,By maintaining low-pressure storage,By covering with insulation,B,API SPEC 5CT & 5A5
699,Which of the following must be included in the mill test report for API 5CT?,Pipe length,Chemical composition,Pressure ratings,Corrosion resistance,B,API SPEC 5CT & 5A5
700,Which of the following should be inspected when casing is being lowered?,Casing dimensions,Thread quality,Surface defects,All of the above,D,API SPEC 5CT & 5A5
701,What does API RP 7G primarily focus on?,Environmental safety,Inspection and maintenance of drilling and well-servicing structures,Drilling techniques,Operating pressure limits,B,API RP 7G-2
702,"According to API RP 7G, what is the main purpose of inspection and maintenance of drilling structures?",To increase production speed,To maintain the serviceability of the equipment,To improve drilling efficiency,To reduce operational costs,B,API RP 7G-2
703,"Which of the following is considered a critical area for inspection, as per API RP 7G?",Paint condition,Secondary load-carrying components,Primary load-carrying components,Surface level of equipment,C,API RP 7G-2
704,"In which cases should users develop their own inspection, maintenance, and repair procedures?",When manufacturers are unable to provide suitable recommendations,For offshore operations only,During standard operations,When equipment is still under warranty,A,API RP 7G-2
705,What is the recommended action if an inspector notices corrosion that reduces the cross-sectional area of a member by more than 10%?,No action needed,Evaluate and repair the damaged area,Only clean the area,Replace the entire equipment,B,API RP 7G-2
706,Which of the following inspection categories is associated with detailed evaluations performed by a professional engineer or OEM representative?,Category I,Category II,Category III,Category IV,D,API RP 7G-2
707,What does the term 'critical area' refer to in API RP 7G?,Parts subject to minor wear,Areas with high stresses in primary load-carrying components,Areas not requiring inspection,Non-functional parts,B,API RP 7G-2
708,API RP 7G recommends that all Category IV inspections should be conducted by which of the following?,A qualified NDT technician,A Professional Engineer or OEM representative,A field supervisor,A certified welder,B,API RP 7G-2
